iter	Passed	Remaining
314	9101	19792
315	9128	19760
316	9156	19729
317	9181	19691
318	9212	19665
319	9241	19637
320	9265	19599
321	9298	19579
322	9333	19563
323	9363	19536
324	9390	19502
325	9418	19472
326	9448	19446
327	9474	19412
328	9506	19387
329	9536	19362
330	9566	19335
331	9593	19302
332	9621	19272
333	9648	19238
334	9678	19212
335	9708	19185
336	9740	19163
337	9767	19130
338	9798	19105
339	9828	19078
340	9857	19050
341	9885	19019
342	9918	18999
343	9948	18971
344	9975	18939
345	10005	18912
346	10036	18886
347	10066	18859
348	10096	18832
349	10123	18799
350	10151	18769
351	10176	18733
352	10203	18701
353	10232	18673
354	10258	18639
355	10284	18604
356	10311	18573
357	10338	18540
358	10365	18508
359	10396	18481
360	10421	18446
361	10450	18418
362	10479	18389
363	10508	18360
364	10538	18334
365	10568	18307
366	10594	18273
367	10623	18245
368	10654	18219
369	10680	18185
370	10709	18156
371	10739	18130
372	10770	18104
373	10797	18072
374	10826	18043
375	10855	18015
376	10884	17986
377	10919	17967
378	10948	17939
379	10979	17913
380	11004	17879
381	11036	17854
382	11066	17827
383	11093	17795
384	11123	17768
385	11151	17738
386	11176	17702
387	11206	17676
388	11233	17644
389	11257	17607
390	11288	17582
391	11319	17557
392	11351	17532
393	11381	17504
394	11411	17478
395	11439	17448
396	11470	17422
397	11495	17387
398	11524	17359
399	11556	17334
400	11583	17302
401	11610	17270
402	11640	17244
403	11668	17213
404	11697	17184
405	11723	17152
406	11750	17120
407	11779	17091
408	11808	17063
409	11835	17031
410	11864	17002
411	11894	16976
412	11924	16948
413	11951	16917
414	11982	16890
415	12010	16861
416	12037	16829
417	12067	16802
418	12097	16774
419	12124	16743
420	12155	16717
421	12182	16686
422	12209	16654
423	12238	16625
424	12268	16598
425	12299	16572
426	12330	16546
427	12359	16517
428	12388	16488
429	12415	16457
430	12442	16426
431	12474	16401
432	12497	16364
433	12523	16332
434	12547	16297
435	12572	16263
436	12595	16227
437	12622	16195
438	12651	16167
439	12682	16140
440	12710	16111
441	12739	16082
442	12770	16056
443	12803	16032
444	12830	16001
445	12858	15972
446	12894	15952
447	12923	15923
448	12952	15894
449	12981	15866
450	13014	15842
451	13046	15817
452	13075	15788
453	13105	15760
454	13134	15732
455	13160	15700
456	13190	15672
457	13221	15645
458	13252	15620
459	13283	15593
460	13311	15563
461	13338	15532
462	13368	15505
463	13395	15474
464	13423	15444
465	13453	15416
466	13478	15383
467	13509	15357
468	13538	15328
469	13565	15297
470	13596	15271
471	13629	15246
472	13654	15213
473	13684	15185
474	13715	15159
475	13746	15132
476	13771	15099
477	13802	15072
478	13832	15045
479	13867	15023
480	13894	14992
481	13924	14964
482	13954	14936
483	13981	14905
484	14012	14879
485	14043	14852
486	14073	14824
487	14100	14794
488	14131	14767
489	14160	14738
490	14192	14712
491	14221	14683
492	14252	14657
493	14286	14633
494	14311	14600
495	14339	14570
496	14371	14544
497	14397	14513
498	14424	14482
499	14453	14453
500	14478	14420
501	14506	14390
502	14536	14363
503	14565	14334
504	14595	14306
505	14623	14276
506	14651	14246
507	14677	14215
508	14707	14187
509	14736	14158
510	14762	14127
511	14789	14096
512	14818	14067
513	14848	14039
514	14877	14011
515	14908	13983
516	14938	13956
517	14963	13923
518	14993	13895
519	15022	13866
520	15050	13836
521	15077	13806
522	15106	13777
523	15132	13746
524	15163	13719
525	15192	13690
526	15215	13656
527	15244	13627
528	15275	13600
529	15301	13569
530	15331	13541
531	15359	13512
532	15383	13478
533	15409	13447
534	15435	13416
535	15460	13383
536	15492	13357
537	15523	13330
538	15548	13298
539	15578	13270
540	15610	13243
541	15640	13216
542	15665	13184
543	15696	13157
544	15725	13128
545	15752	13097
546	15781	13069
547	15809	13040
548	15838	13011
549	15866	12981
550	15896	12953
551	15923	12923
552	15955	12896
553	15985	12869
554	16024	12848
555	16052	12819
556	16080	12789
557	16110	12761
558	16139	12732
559	16168	12703
560	16198	12675
561	16228	12647
562	16252	12615
563	16279	12585
564	16304	12552
565	16329	12521
566	16361	12494
567	16386	12463
568	16409	12430
569	16439	12401
570	16469	12373
571	16495	12342
572	16523	12312
573	16550	12283
574	16580	12254
575	16610	12227
576	16638	12197
577	16667	12168
578	16697	12140
579	16727	12112
580	16755	12083
581	16785	12055
582	16815	12027
583	16851	12003
584	16881	11975
585	16908	11945
586	16936	11915
587	16968	11889
588	16996	11859
589	17025	11830
590	17053	11801
591	17078	11770
592	17104	11739
593	17127	11706
594	17156	11678
595	17186	11649
596	17217	11622
597	17244	11592
598	17272	11562
599	17300	11533
600	17325	11502
601	17350	11470
602	17371	11436
603	17398	11407
604	17429	11379
605	17454	11348
606	17483	11319
607	17512	11290
608	17542	11262
609	17570	11233
610	17599	11205
611	17630	11177
612	17657	11147
613	17686	11118
614	17716	11090
615	17749	11064
616	17774	11033
617	17803	11004
618	17835	10977
619	17863	10948
620	17892	10920
621	17923	10892
622	17952	10863
623	17981	10835
624	18009	10805
625	18038	10776
626	18064	10746
627	18093	10717
628	18125	10690
629	18151	10660
630	18182	10632
631	18214	10605
632	18244	10578
633	18270	10547
634	18301	10519
635	18334	10493
636	18360	10462
637	18390	10434
638	18419	10405
639	18446	10376
640	18476	10347
641	18505	10319
642	18535	10291
643	18563	10261
644	18591	10232
645	18620	10203
646	18648	10174
647	18678	10146
648	18705	10116
649	18735	10088
650	18764	10059
651	18790	10029
652	18822	10002
653	18850	9973
654	18879	9943
655	18902	9912
656	18929	9882
657	18960	9855
658	18993	9828
659	19018	9797
660	19048	9769
661	19072	9737
662	19096	9706
663	19127	9679
664	19149	9646
665	19174	9616
666	19200	9585
667	19229	9557
668	19258	9528
669	19287	9499
670	19313	9469
671	19343	9441
672	19373	9413
673	19403	9385
674	19431	9355
675	19461	9327
676	19490	9299
677	19519	9270
678	19547	9241
679	19577	9213
680	19602	9182
681	19632	9153
682	19661	9125
683	19691	9097
684	19720	9068
685	19750	9040
686	19779	9011
687	19807	8982
688	19839	8955
689	19870	8927
690	19900	8899
691	19927	8869
692	19956	8840
693	19983	8811
694	20011	8781
695	20042	8754
696	20073	8726
697	20100	8696
698	20132	8669
699	20160	8640
700	20190	8611
701	20220	8583
702	20252	8556
703	20283	8528
704	20313	8500
705	20342	8471
706	20372	8443
707	20402	8414
708	20428	8384
709	20458	8356
710	20487	8327
711	20514	8297
712	20543	8269
713	20569	8239
714	20597	8210
715	20626	8181
716	20657	8153
717	20687	8125
718	20715	8096
719	20744	8067
720	20774	8039
721	20799	8008
722	20829	7980
723	20858	7951
724	20889	7923
725	20916	7894
726	20945	7865
727	20972	7836
728	20998	7806
729	21027	7777
730	21051	7746
731	21080	7718
732	21111	7690
733	21144	7662
734	21172	7633
735	21208	7607
736	21238	7579
737	21264	7549
738	21289	7519
739	21320	7491
740	21356	7464
741	21386	7436
742	21413	7406
743	21440	7377
744	21463	7346
745	21487	7315
746	21512	7286
747	21536	7255
748	21562	7225
749	21585	7195
750	21613	7166
751	21641	7137
752	21667	7107
753	21697	7079
754	21725	7050
755	21754	7021
756	21799	6997
757	21828	6968
758	21857	6940
759	21885	6911
760	21912	6881
761	21942	6853
762	21972	6825
763	22000	6795
764	22031	6767
765	22061	6739
766	22090	6710
767	22117	6681
768	22145	6652
769	22172	6622
770	22200	6593
771	22231	6565
772	22260	6536
773	22286	6507
774	22316	6478
775	22347	6450
776	22372	6421
777	22402	6392
778	22433	6364
779	22462	6335
780	22490	6306
781	22521	6278
782	22549	6249
783	22576	6220
784	22604	6191
785	22633	6162
786	22659	6132
787	22688	6104
788	22717	6075
789	22743	6045
790	22771	6016
791	22798	5987
792	22829	5959
793	22856	5930
794	22887	5901
795	22916	5873
796	22943	5843
797	22969	5814
798	22998	5785
799	23023	5755
800	23054	5727
801	23085	5699
802	23111	5669
803	23139	5640
804	23168	5612
805	23195	5583
806	23223	5554
807	23255	5525
808	23278	5495
809	23306	5466
810	23335	5438
811	23367	5410
812	23392	5380
813	23422	5351
814	23447	5322
815	23474	5293
816	23503	5264
817	23530	5235
818	23560	5206
819	23591	5178
820	23619	5149
821	23645	5120
822	23676	5091
823	23704	5063
824	23730	5033
825	23756	5004
826	23786	4975
827	23815	4947
828	23846	4918
829	23877	4890
830	23908	4862
831	23934	4832
832	23962	4803
833	23985	4774
834	24009	4744
835	24034	4714
836	24057	4685
837	24086	4656
838	24116	4627
839	24143	4598
840	24174	4570
841	24204	4541
842	24230	4512
843	24259	4483
844	24285	4454
845	24312	4425
846	24341	4396
847	24373	4368
848	24397	4339
849	24428	4310
850	24459	4282
851	24488	4253
852	24514	4224
853	24543	4196
854	24572	4167
855	24598	4138
856	24628	4109
857	24657	4080
858	24683	4051
859	24711	4022
860	24740	3994
861	24767	3965
862	24798	3936
863	24826	3907
864	24859	3879
865	24891	3851
866	24927	3824
867	24961	3795
868	24997	3768
869	25028	3739
870	25059	3711
871	25091	3683
872	25127	3655
873	25156	3626
874	25182	3597
875	25210	3568
876	25239	3539
877	25266	3510
878	25294	3481
879	25326	3453
880	25359	3425
881	25387	3396
882	25422	3368
883	25455	3340
884	25485	3311
885	25510	3282
886	25542	3253
887	25570	3225
888	25603	3196
889	25632	3168
890	25660	3139
891	25689	3110
892	25715	3081
893	25745	3052
894	25785	3025
895	25814	2996
896	25838	2966
897	25868	2938
898	25898	2909
899	25925	2880
900	25954	2851
901	25983	2823
902	26010	2794
903	26038	2765
904	26066	2736
905	26091	2707
906	26120	2678
907	26150	2649
908	26176	2620
909	26201	2591
910	26227	2562
911	26252	2533
912	26283	2504
913	26312	2475
914	26338	2446
915	26367	2418
916	26393	2388
917	26416	2359
918	26443	2330
919	26472	2301
920	26499	2272
921	26527	2244
922	26553	2215
923	26580	2186
924	26610	2157
925	26639	2128
926	26664	2099
927	26694	2071
928	26723	2042
929	26752	2013
930	26780	1984
931	26806	1955
932	26831	1926
933	26857	1897
934	26885	1869
935	26911	1840
936	26940	1811
937	26967	1782
938	26993	1753
939	27025	1725
940	27053	1696
941	27080	1667
942	27108	1638
943	27138	1609
944	27163	1580
945	27191	1552
946	27217	1523
947	27242	1494
948	27268	1465
949	27291	1436
950	27315	1407
951	27339	1378
952	27363	1349
953	27389	1320
954	27414	1291
955	27445	1263
956	27475	1234
957	27505	1205
958	27531	1177
959	27558	1148
960	27587	1119
961	27613	1090
962	27641	1062
963	27672	1033
964	27699	1004
965	27730	976
966	27759	947
967	27783	918
968	27812	889
969	27840	861
970	27867	832
971	27898	803
972	27928	774
973	27953	746
974	27983	717
975	28013	688
976	28040	660
977	28071	631
978	28098	602
979	28125	573
980	28150	545
981	28175	516
982	28199	487
983	28224	458
984	28249	430
985	28274	401
986	28303	372
987	28333	344
988	28360	315
989	28387	286
990	28416	258
991	28445	229
992	28475	200
993	28506	172
994	28535	143
995	28564	114
996	28597	86
997	28626	57
998	28656	28
999	28687	0
