iter	Logloss
138	0.4530200244
139	0.4527761094
140	0.4525101004
141	0.4522416491
142	0.4520536553
143	0.4518451383
144	0.4516368105
145	0.4514503856
146	0.4512623699
147	0.4509712024
148	0.4507582516
149	0.450550441
150	0.4503101577
151	0.4501013536
152	0.44991112
153	0.4497094338
154	0.449506981
155	0.4492954384
156	0.4490273353
157	0.4488596196
158	0.4486590813
159	0.4484822595
160	0.4483227091
161	0.4480462046
162	0.4478104386
163	0.4475772607
164	0.4474076585
165	0.4472655462
166	0.4471229505
167	0.4468625142
168	0.4467207127
169	0.4464651
170	0.4462790001
171	0.4460376273
172	0.4458622106
173	0.4456453626
174	0.4454921274
175	0.4452515434
176	0.4450226335
177	0.4447823816
178	0.4445970744
179	0.4444339809
180	0.4442459507
181	0.4440939871
182	0.4438427751
183	0.4436790018
184	0.4434879659
185	0.443358072
186	0.4432378329
187	0.4430814195
188	0.4429088127
189	0.442746562
190	0.4426038772
191	0.4424184541
192	0.4422642627
193	0.4420789389
194	0.4419300177
195	0.4417583958
196	0.4416207437
197	0.4414716657
198	0.4413188712
199	0.4411805595
200	0.4410153737
201	0.4408492379
202	0.4407193751
203	0.4404841909
204	0.4403136538
205	0.4401999229
206	0.4400059857
207	0.4398562141
208	0.439697099
209	0.4395580122
210	0.4393797792
211	0.4392880371
212	0.4391228143
213	0.4389797323
214	0.4388271819
215	0.4386431644
216	0.4384685676
217	0.4383184055
218	0.4380999289
219	0.4379211453
220	0.4377448093
221	0.4375835252
222	0.4374369505
223	0.4372960296
224	0.4371763769
225	0.4370326652
226	0.436891974
227	0.4367407168
228	0.4366255127
229	0.4364695697
230	0.4363595585
231	0.4362024025
232	0.4360233712
233	0.4358592845
234	0.4356833467
235	0.435583991
236	0.4354429239
237	0.4352601878
238	0.4351029425
239	0.4349427986
240	0.4347787924
241	0.4346227926
242	0.4345014346
243	0.4343269171
244	0.4341360941
245	0.433961117
246	0.4338211608
247	0.4336961176
248	0.4335267427
249	0.4333581569
250	0.4332162035
251	0.433101544
252	0.4329184289
253	0.4327236837
254	0.4325288372
255	0.4324280388
256	0.4322599238
257	0.4321040823
258	0.4319009268
259	0.4317245492
260	0.43153513
261	0.4313542137
262	0.4311703874
263	0.4310074267
264	0.4308430375
265	0.4306812941
266	0.4305192966
267	0.4303602907
268	0.4301514692
269	0.4299987206
270	0.4298893445
271	0.4297165451
272	0.429558528
273	0.4294080111
274	0.4292612025
275	0.4291755411
276	0.4290114569
277	0.428821463
278	0.4287106583
279	0.4285093564
280	0.4283205245
281	0.4281608563
282	0.4279580039
283	0.4278012981
284	0.4276114017
285	0.4274245161
286	0.4273096929
287	0.4271467961
288	0.4269749466
289	0.4268345419
290	0.4266854881
291	0.4264808731
292	0.4263459783
293	0.4261905914
294	0.4260239008
295	0.4258671367
296	0.4257295143
297	0.4255258257
298	0.4253156802
299	0.4251244752
300	0.4249342262
301	0.4247667478
302	0.4246090683
303	0.4244461544
304	0.4243329145
305	0.4241708436
306	0.4240237474
307	0.4238671094
308	0.4236895985
309	0.4234885146
310	0.4233183107
311	0.4231792225
312	0.422990628
313	0.422821446
314	0.4226475309
315	0.4224920927
316	0.4223451259
317	0.4221900694
318	0.422020377
319	0.4218685147
320	0.4217089314
321	0.4215524882
322	0.4214010981
323	0.4212590868
324	0.421109258
325	0.4209942439
326	0.4208588484
327	0.4206997033
328	0.4205461844
329	0.4203430696
330	0.4202198188
331	0.4200742869
332	0.4198851815
333	0.4197239448
334	0.4195248017
335	0.4193256794
336	0.4191453896
337	0.4189813456
338	0.4188054344
339	0.4186787146
340	0.4185349415
341	0.4183892379
342	0.4182320879
343	0.4180738178
344	0.4179225828
345	0.4177741315
346	0.4176535372
347	0.4174990073
348	0.4173314681
349	0.4171698886
350	0.4170006031
351	0.416816846
352	0.4166501286
353	0.4164981187
354	0.4163608672
355	0.4161971681
356	0.4160704408
357	0.415915611
358	0.4157421898
359	0.4155875004
360	0.4154256168
361	0.4152810135
362	0.4150910147
363	0.4149306421
364	0.4147608243
365	0.414644905
366	0.4145184989
367	0.4143860817
368	0.4141810376
369	0.4140293182
370	0.4138830656
371	0.4136700384
372	0.4134923569
373	0.4133573992
374	0.4132065863
375	0.4130684328
376	0.4129143788
377	0.4127558378
378	0.4126440918
379	0.4124570043
380	0.4123304825
381	0.4122111006
382	0.4120704892
383	0.411892644
384	0.4117458345
385	0.411589374
386	0.411447628
387	0.4112606321
388	0.4111486686
389	0.4110067962
390	0.4109107834
391	0.4107840474
392	0.4106515897
393	0.4105092442
394	0.4103586792
395	0.4102491216
396	0.4101081235
397	0.409982063
398	0.4097918015
399	0.4096443547
400	0.4095257979
401	0.4093955343
402	0.4092891773
403	0.4092098357
404	0.4090777741
405	0.4089394478
406	0.4088076137
407	0.4086625824
408	0.4085373025
409	0.4084286929
410	0.4083229661
411	0.4082024426
412	0.4080409862
413	0.4078721716
414	0.407759202
415	0.4075957226
416	0.4074228571
417	0.4072835737
418	0.4071540626
419	0.407052476
420	0.4068893483
421	0.4067149547
422	0.4065641492
423	0.406391562
424	0.4062679654
425	0.4061534772
426	0.4059842747
427	0.4058493879
428	0.4057229026
429	0.4055830139
430	0.4054418909
431	0.4053014017
432	0.4051588707
433	0.4050542534
434	0.4048827947
435	0.4047632733
436	0.4046736374
437	0.4045630452
438	0.40446254
439	0.404310433
440	0.4041507287
441	0.4039852823
442	0.403874594
443	0.4037432554
444	0.4035698603
445	0.4034442844
446	0.4032839598
447	0.4031652183
448	0.4030094802
449	0.4028505639
450	0.4026908016
451	0.4025550202
452	0.4024340728
453	0.4022898715
454	0.4021488545
455	0.4020160451
456	0.4018594385
457	0.401697701
458	0.4015701766
459	0.4014600347
460	0.4012884246
461	0.4011553933
462	0.401001241
463	0.4008807876
464	0.4007092048
465	0.4006077566
466	0.400517862
467	0.4003116419
468	0.4001706335
469	0.4000421436
470	0.3999144049
471	0.3997973014
472	0.3996856668
473	0.3995772069
474	0.399446103
475	0.3992848486
476	0.399141581
477	0.3989851127
478	0.3988841275
479	0.3987423624
480	0.3985787851
481	0.3984365418
482	0.3983017914
483	0.3981359327
484	0.3980359357
485	0.397910702
486	0.3977768872
487	0.3976425579
488	0.3975006342
489	0.397341322
490	0.3971836774
491	0.397052363
492	0.3969508333
493	0.3968261578
494	0.3966984399
495	0.3965501675
496	0.3964338614
497	0.3963194346
498	0.3961665905
499	0.3960341252
500	0.3959063182
501	0.3957822383
502	0.3956327404
503	0.3955390706
504	0.3953726329
505	0.3952627276
506	0.395126065
507	0.3949847372
508	0.3948306658
509	0.3946761534
510	0.3945428054
511	0.3944284313
512	0.3943219986
513	0.3941710797
514	0.3940206135
515	0.3939182112
516	0.3937203151
517	0.3935763341
518	0.3934723775
519	0.3933806237
520	0.3932659883
521	0.3931419412
522	0.3930393198
523	0.3929045843
524	0.3927821945
525	0.3926800271
526	0.3925248365
527	0.3924047634
528	0.392261843
529	0.3921619329
530	0.3920791177
531	0.3919894741
532	0.3918685164
533	0.3917874747
534	0.3916501078
535	0.391556404
536	0.3914414017
537	0.3913305697
538	0.3912040864
539	0.3911311143
540	0.3909976506
541	0.3908691476
542	0.3907713451
543	0.3906449408
544	0.3904964566
545	0.3903869094
546	0.3902372063
547	0.3901593613
548	0.3900570171
549	0.3899693674
550	0.3898634805
551	0.3896976719
552	0.3896040116
553	0.3895085799
554	0.3893717396
555	0.3892646877
556	0.3891092353
557	0.388952098
558	0.3888312446
559	0.3886817818
560	0.3885912205
561	0.3884762153
562	0.3883504686
563	0.3882563649
564	0.3881438156
565	0.3880442755
566	0.3879519016
567	0.387860844
568	0.3877541121
569	0.3876168643
570	0.3874859775
571	0.3873720633
572	0.3872087526
573	0.3871044184
574	0.3869285927
575	0.3868284152
576	0.3867202926
577	0.3866175361
578	0.3865414036
579	0.386482535
580	0.3863469742
581	0.3862584109
582	0.3861578583
583	0.386051137
584	0.3859349733
585	0.3857693741
586	0.385680633
587	0.385544594
588	0.3854237221
589	0.3852960797
590	0.3851598831
591	0.3850395036
592	0.3849173828
593	0.3848027231
594	0.3847018332
595	0.3845399508
596	0.3844176896
597	0.3843298304
598	0.3842333716
599	0.3841353939
600	0.384001482
601	0.3839001479
602	0.3837768846
603	0.3836576491
604	0.383571812
605	0.3834661846
606	0.3833637517
607	0.3832294395
608	0.3831080557
609	0.3829805582
610	0.3828211981
611	0.3826602415
612	0.3825186078
613	0.382427982
614	0.3823369486
615	0.3822220813
616	0.3821201479
617	0.3820221318
618	0.3818849519
619	0.3817610303
620	0.3816504812
621	0.3814917895
622	0.3813800498
623	0.3812731135
624	0.3811579144
625	0.3810193624
626	0.3808957533
627	0.3807468805
628	0.3806447593
629	0.3805511746
630	0.3803988343
631	0.3802742655
632	0.3801963505
633	0.3800919563
634	0.3799853041
635	0.3799038068
636	0.3797864524
637	0.3796665074
638	0.3795817617
639	0.379440132
640	0.379325687
641	0.3791894884
642	0.379033551
643	0.3789329071
644	0.3788387057
645	0.3787457494
646	0.3785969251
647	0.3784569546
648	0.3783434222
649	0.3782292672
650	0.378113649
651	0.3779991577
652	0.3778858425
653	0.3777349848
654	0.3776646631
655	0.3775654227
656	0.3774454599
657	0.3773096253
658	0.3771919573
659	0.3770769815
660	0.3769257614
661	0.3767791631
662	0.3766972803
663	0.3766035631
664	0.3764744608
665	0.376337447
666	0.3762289211
667	0.3761358657
668	0.3760327169
669	0.375952137
670	0.375852039
671	0.3757910947
672	0.3756742259
673	0.375557594
674	0.3754561415
675	0.3753458995
676	0.3752696265
677	0.3751769973
678	0.3750400361
679	0.3749543307
680	0.3748399921
681	0.374721991
682	0.374605183
683	0.3745392958
684	0.3744162753
685	0.374305641
686	0.3742123131
687	0.3740862782
688	0.3739614852
689	0.3738519504
690	0.3737255212
691	0.3735591957
692	0.3733957765
693	0.3733189747
694	0.3731915355
695	0.3730946749
696	0.3729562136
697	0.3728601984
698	0.372772772
699	0.3726618634
700	0.3725286544
701	0.3724199753
702	0.3723412891
703	0.3722428855
704	0.3721600744
705	0.3720815501
706	0.3719911001
707	0.3718702014
708	0.3717439728
709	0.3716244159
710	0.371513643
711	0.3714028777
712	0.3712875782
713	0.371200811
714	0.3710904887
715	0.3709834762
716	0.3708963229
717	0.3708365445
718	0.370750658
719	0.3706894132
720	0.3706027845
721	0.3704873001
722	0.3704266499
723	0.3703044444
724	0.3702113203
725	0.3701336531
726	0.3700637435
727	0.3699650885
728	0.3698865688
729	0.3697916832
730	0.3696560827
731	0.3695479174
732	0.3694636228
733	0.3693863764
734	0.3692582057
735	0.3691205898
736	0.3690236802
737	0.3689058008
738	0.3688142636
739	0.3686978362
740	0.3685784333
741	0.3684827583
742	0.3683659598
743	0.3682677275
744	0.3681749827
745	0.3680605876
746	0.367950055
747	0.3678184078
748	0.3676711968
749	0.3675993887
750	0.3674552782
751	0.3673367615
752	0.3672414432
753	0.3671359966
754	0.3670306182
755	0.3668921749
756	0.3668032477
757	0.3666313581
758	0.366520311
759	0.3664070163
760	0.3662772076
761	0.3661761032
762	0.3660547881
763	0.3659449259
764	0.3658181285
765	0.3657457718
766	0.3656430771
767	0.3655542083
768	0.3655002298
769	0.3653405792
770	0.3652054082
771	0.3651032289
772	0.3650295975
773	0.3649056256
774	0.3648070144
775	0.3646904195
776	0.3646012716
777	0.3644908467
778	0.3644210327
779	0.3643221561
780	0.3641655268
781	0.364066861
782	0.363979579
783	0.363875592
784	0.3637609545
785	0.3636672525
786	0.363589226
787	0.3634522059
788	0.3633412268
789	0.3632683726
790	0.3631744631
791	0.3630436307
792	0.3629099289
793	0.3628345099
794	0.3627192504
795	0.3626044314
796	0.3625012987
797	0.3623906549
798	0.3622766655
799	0.362175727
800	0.3620894465
801	0.3619914461
802	0.3619072499
803	0.3617772923
804	0.3616814191
805	0.3615929687
806	0.3615140538
807	0.3614055749
808	0.3613489973
809	0.3612246702
810	0.3611356689
811	0.3610021638
812	0.3608953115
813	0.3607837922
814	0.3607114411
815	0.3605921468
816	0.360484335
817	0.3604134228
818	0.3603128388
819	0.3602396717
820	0.3601568895
821	0.3600728913
822	0.3599605321
823	0.3598814006
824	0.3597773698
825	0.3596657441
826	0.3595392659
827	0.3594378226
828	0.3593266766
829	0.3592082993
830	0.3590923943
831	0.3589685955
832	0.358892938
833	0.3587962145
834	0.3586918012
835	0.3586295943
836	0.3584839015
837	0.3583593342
838	0.3582540574
839	0.3581537943
840	0.3580230713
841	0.357967859
842	0.3578691135
843	0.35771045
844	0.3575830753
845	0.3575085392
846	0.3574040872
847	0.357309951
848	0.3572310118
849	0.3571182195
850	0.3570028447
851	0.3569049632
852	0.3568152961
853	0.3567329899
854	0.3566536993
855	0.3565227688
856	0.3564040926
857	0.3562823274
858	0.3562108148
859	0.3560961231
860	0.3559838861
861	0.3559122282
862	0.3558295342
863	0.3556962558
864	0.3556098003
865	0.3555047548
866	0.3554238859
867	0.3553444524
868	0.3551987891
869	0.3550753253
870	0.3549864634
871	0.354844844
872	0.3547748673
873	0.3546790605
874	0.354570488
875	0.3545109253
876	0.3543991312
877	0.3543174801
878	0.3542399179
879	0.3541635867
880	0.3540310328
881	0.3539114798
882	0.3538364947
883	0.3537333908
884	0.3536296567
885	0.3535508148
886	0.3534578358
887	0.3533444997
888	0.3532626202
889	0.3532077353
890	0.3531164781
891	0.3530103017
892	0.3529018858
893	0.3528049824
894	0.3527157383
895	0.3526110474
896	0.3525286407
897	0.3524065293
898	0.352312206
899	0.3521740312
900	0.3520434397
901	0.3519509551
902	0.3518334976
903	0.3517721869
904	0.3516832922
905	0.3515735561
906	0.3514712751
907	0.3514015711
908	0.3512786637
909	0.3512017024
910	0.3510917575
911	0.35102441
912	0.3509487362
913	0.3508827815
914	0.3507730665
915	0.3507016378
916	0.3505998579
917	0.3505070404
918	0.3504032269
919	0.3503045489
920	0.3502018243
921	0.3500961068
922	0.3499730408
923	0.3499125994
924	0.3498405004
925	0.3497412992
926	0.3496970569
927	0.3496108804
928	0.3495351565
929	0.349432815
930	0.3493096667
931	0.3492057992
932	0.3490535343
933	0.3489785812
934	0.3488909458
935	0.3487568434
936	0.3486602398
937	0.3485849668
938	0.3484743825
939	0.3483716805
940	0.3482612638
941	0.3481534704
942	0.3480620798
943	0.3479403444
944	0.3478494124
945	0.3477534642
946	0.3476869777
947	0.3475921285
948	0.3474879984
949	0.3473813003
950	0.3472927573
951	0.3472426432
952	0.3471014256
953	0.3469967784
954	0.3468818896
955	0.3467501755
956	0.3466676913
957	0.3465818038
958	0.3464870174
959	0.3464202623
960	0.346317024
961	0.3462788324
962	0.3461870199
963	0.3461089676
964	0.3459993301
965	0.3459194163
966	0.3457926392
967	0.3457342752
968	0.3456848021
969	0.3455691342
970	0.3454691102
971	0.3453553458
972	0.3452705591
973	0.3451643238
974	0.3450815043
975	0.3450089703
976	0.3448884469
977	0.344796922
978	0.3447320836
979	0.3446212906
980	0.3445308443
981	0.3444373117
982	0.3443091645
983	0.3442413854
984	0.3441124036
985	0.3440082683
986	0.3439467561
987	0.3438731433
988	0.3438220223
989	0.3436739007
990	0.3436013833
991	0.3435485344
992	0.3435142974
993	0.3434099458
994	0.3433341683
995	0.3432356229
996	0.343111568
997	0.3430351714
998	0.3429639158
999	0.3428451232
